date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:56:07	76479/76479	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Jun%202024%2002:56:06%20GMT	https://www.bancopatagonia.com.ar/personas/index.php	/home/william/Escritorio/Redes%20de%20Computadora/Unidad%207/websites/BancoPatagoniaClone/www.bancopatagonia.com.ar/personas/index.html	(from )
23:56:09	42946/42946	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Jun%202024%2002:56:09%20GMT	https://www.bancopatagonia.com.ar/canales-de-atencion/index.php	/home/william/Escritorio/Redes%20de%20Computadora/Unidad%207/websites/BancoPatagoniaClone/www.bancopatagonia.com.ar/canales-de-atencion/index.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
23:56:10	43204/43204	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Jun%202024%2002:56:10%20GMT	https://www.bancopatagonia.com.ar/ayuda/index.php	/home/william/Escritorio/Redes%20de%20Computadora/Unidad%207/websites/BancoPatagoniaClone/www.bancopatagonia.com.ar/ayuda/index.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
23:56:11	52201/52201	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Jun%202024%2002:56:11%20GMT	https://www.bancopatagonia.com.ar/nyps/index.php	/home/william/Escritorio/Redes%20de%20Computadora/Unidad%207/websites/BancoPatagoniaClone/www.bancopatagonia.com.ar/nyps/index.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
23:56:12	53980/53980	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Jun%202024%2002:56:11%20GMT	https://www.bancopatagonia.com.ar/pyme/index.php	/home/william/Escritorio/Redes%20de%20Computadora/Unidad%207/websites/BancoPatagoniaClone/www.bancopatagonia.com.ar/pyme/index.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
23:56:13	53469/53469	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Jun%202024%2002:56:12%20GMT	https://www.bancopatagonia.com.ar/agro/index.php	/home/william/Escritorio/Redes%20de%20Computadora/Unidad%207/websites/BancoPatagoniaClone/www.bancopatagonia.com.ar/agro/index.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
23:56:14	570/570	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20Jun%202024%2002:56:08%20GMT	https://www.googletagmanager.com/ns.html?id=GTM-NL73B44	/home/william/Escritorio/Redes%20de%20Computadora/Unidad%207/websites/BancoPatagoniaClone/www.googletagmanager.com/ns5408.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
23:56:14	52282/52282	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Jun%202024%2002:56:14%20GMT	https://www.bancopatagonia.com.ar/empresas/index.php	/home/william/Escritorio/Redes%20de%20Computadora/Unidad%207/websites/BancoPatagoniaClone/www.bancopatagonia.com.ar/empresas/index.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
23:56:14	952/952	---M--	200	added ('OK')	text/html	etag:%223b8-6199e26fe6f80%22	https://tunuevacuenta.bancopatagonia.com.ar/?utm_source=sitiowebbp&utm_medium=sitiowebbp%20banner%20home&utm_campaign=onboarding_sitiowebp_bannerhome	/home/william/Escritorio/Redes%20de%20Computadora/Unidad%207/websites/BancoPatagoniaClone/tunuevacuenta.bancopatagonia.com.ar/indexe0b0.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
23:56:15	42364/42364	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Jun%202024%2002:56:15%20GMT	https://www.bancopatagonia.com.ar/sector-publico/index.php	/home/william/Escritorio/Redes%20de%20Computadora/Unidad%207/websites/BancoPatagoniaClone/www.bancopatagonia.com.ar/sector-publico/index.html	(from https://www.bancopatagonia.com.ar/personas/index.php)
